date,site,consumption_kwh,solar_production_kwh,wind_production_kwh,grid_import_kwh,co2_emissions_kg,peak_demand_kw,is_anomaly
2024-03-04,Site_A_HongKong,762.55,84.29,78.91,599.36,139.65,94.84,False
2024-03-05,Site_A_HongKong,760.53,84.31,93.02,583.2,135.89,108.34,False
2024-03-06,Site_A_HongKong,782.55,110.34,58.98,613.23,142.88,111.57,False
2024-03-07,Site_A_HongKong,664.49,85.07,65.12,514.3,119.83,80.19,False
2024-03-08,Site_A_HongKong,714.61,85.25,58.38,570.97,133.04,117.74,False
2024-03-09,Site_A_HongKong,758.07,90.11,73.4,594.56,138.53,101.14,False
2024-03-10,Site_A_HongKong,742.42,83.99,63.7,594.73,138.57,132.27,False
2024-03-11,Site_A_HongKong,824.03,94.99,62.34,666.71,155.34,127.77,False
2024-03-12,Site_A_HongKong,735.74,89.87,37.4,608.48,141.77,108.76,False
2024-03-13,Site_A_HongKong,778.05,110.01,50.51,617.53,143.88,125.96,False
2024-03-14,Site_A_HongKong,669.09,101.64,31.91,535.54,124.78,116.86,False
2024-03-15,Site_A_HongKong,767.29,108.81,93.22,565.27,131.71,94.16,False
2024-03-16,Site_A_HongKong,737.12,110.38,27.39,599.36,139.65,114.73,False
2024-03-17,Site_A_HongKong,752.46,106.08,47.29,599.09,139.59,109.02,False
2024-03-18,Site_A_HongKong,735.83,105.34,79.1,551.39,128.47,132.3,False
2024-03-19,Site_A_HongKong,795.94,106.41,37.02,652.51,152.04,117.03,False
2024-03-20,Site_A_HongKong,689.22,99.72,45.93,543.57,126.65,87.4,False
2024-03-21,Site_A_HongKong,748.81,96.89,100.26,551.67,128.54,114.65,False
2024-03-22,Site_A_HongKong,777.82,85.73,22.45,669.64,156.03,128.58,False
2024-03-23,Site_A_HongKong,794.93,85.8,24.54,684.6,159.51,112.11,False
2024-03-24,Site_A_HongKong,675.82,107.98,52.71,515.13,120.03,101.94,False
2024-03-25,Site_A_HongKong,721.84,106.77,97.51,517.56,120.59,92.99,False
2024-03-26,Site_A_HongKong,739.3,95.12,91.35,552.83,128.81,110.57,False
2024-03-27,Site_A_HongKong,781.38,84.05,19.74,677.59,157.88,99.77,False
2024-03-28,Site_A_HongKong,699.11,107.77,53.16,538.18,125.4,111.89,False
2024-03-29,Site_A_HongKong,723.32,86.74,33.22,603.36,140.58,94.48,False
2024-03-30,Site_A_HongKong,686.8,96.4,59.07,531.32,123.8,84.04,False
2024-03-31,Site_A_HongKong,758.88,107.1,93.38,558.4,130.11,93.85,False
2024-04-01,Site_A_HongKong,795.95,174.38,28.52,593.05,138.18,113.21,False
2024-04-02,Site_A_HongKong,854.08,190.44,60.82,602.82,140.46,104.37,False
2024-04-03,Site_A_HongKong,795.95,193.28,41.67,561.0,130.71,100.63,False
2024-04-04,Site_A_HongKong,821.62,179.27,21.69,620.66,144.61,99.58,False
2024-04-05,Site_A_HongKong,722.94,170.64,63.82,488.48,113.82,112.5,False
2024-04-06,Site_A_HongKong,803.74,168.74,59.05,575.94,134.19,124.75,False
2024-04-07,Site_A_HongKong,746.64,180.11,55.01,511.52,119.18,118.53,False
2024-04-08,Site_A_HongKong,690.4,198.72,40.68,451.0,105.08,87.06,False
2024-04-09,Site_A_HongKong,745.96,174.5,32.46,539.01,125.59,97.28,False
2024-04-10,Site_A_HongKong,667.91,170.19,49.88,447.85,104.35,119.0,False
2024-04-11,Site_A_HongKong,772.51,173.59,63.41,535.51,124.77,135.78,False
2024-04-12,Site_A_HongKong,841.45,208.18,41.34,591.93,137.92,117.32,False
2024-04-13,Site_A_HongKong,774.13,170.35,25.59,578.19,134.72,106.3,False
2024-04-14,Site_A_HongKong,719.97,194.49,24.35,501.13,116.76,100.94,False
2024-04-15,Site_A_HongKong,740.47,207.64,64.21,468.62,109.19,109.81,False
2024-04-16,Site_A_HongKong,695.88,211.71,61.81,422.35,98.41,88.69,False
2024-04-17,Site_A_HongKong,769.93,167.56,65.62,536.75,125.06,118.93,False
2024-04-18,Site_A_HongKong,758.88,175.37,30.5,553.01,128.85,98.54,False
2024-04-19,Site_A_HongKong,784.2,184.45,87.67,512.08,119.31,112.57,False
2024-04-20,Site_A_HongKong,753.9,190.45,47.99,515.46,120.1,124.29,False
2024-04-21,Site_A_HongKong,703.13,185.9,52.78,464.45,108.22,122.62,False
2024-04-22,Site_A_HongKong,729.68,199.99,42.4,487.29,113.54,93.66,False
2024-04-23,Site_A_HongKong,782.9,215.37,84.11,483.42,112.64,101.07,False
2024-04-24,Site_A_HongKong,721.79,165.65,45.34,510.8,119.02,119.63,False
2024-04-25,Site_A_HongKong,750.19,170.11,82.53,497.55,115.93,95.76,False
2024-04-26,Site_A_HongKong,812.58,176.96,57.7,577.91,134.65,132.61,False
2024-04-27,Site_A_HongKong,816.35,178.27,48.96,589.13,137.27,106.86,False
2024-04-28,Site_A_HongKong,769.96,190.41,89.68,489.87,114.14,99.48,False
2024-04-29,Site_A_HongKong,770.34,164.76,110.57,495.01,115.34,135.52,False
2024-04-30,Site_A_HongKong,831.48,204.58,32.59,594.31,138.47,128.53,False
2024-05-01,Site_A_HongKong,690.22,297.39,104.04,288.79,67.29,101.5,False
2024-05-02,Site_A_HongKong,833.76,227.96,44.32,561.48,130.83,140.21,False
2024-05-03,Site_A_HongKong,771.37,250.98,21.87,498.52,116.16,126.7,False
2024-05-04,Site_A_HongKong,684.26,234.76,28.99,420.51,97.98,102.57,False
2024-05-05,Site_A_HongKong,769.61,269.47,56.11,444.02,103.46,92.96,False
2024-05-06,Site_A_HongKong,702.22,235.37,49.51,417.33,97.24,87.86,False
2024-05-07,Site_A_HongKong,739.87,228.93,67.05,443.88,103.42,98.1,False
2024-05-08,Site_A_HongKong,735.6,226.53,49.82,459.25,107.01,113.2,False
2024-05-09,Site_A_HongKong,791.21,255.27,25.08,510.86,119.03,102.32,False
2024-05-10,Site_A_HongKong,750.57,253.11,34.4,463.07,107.89,119.07,False
2024-05-11,Site_A_HongKong,726.46,280.15,58.71,387.6,90.31,88.36,False
2024-05-12,Site_A_HongKong,713.79,225.2,22.42,466.17,108.62,119.91,False
2024-05-13,Site_A_HongKong,758.36,231.49,27.3,499.57,116.4,123.87,False
2024-05-14,Site_A_HongKong,748.53,276.37,33.93,438.22,102.11,102.99,False
2024-05-15,Site_A_HongKong,678.08,288.16,54.81,335.11,78.08,91.92,False
2024-05-16,Site_A_HongKong,788.52,272.91,28.94,486.68,113.4,120.74,False
2024-05-17,Site_A_HongKong,674.98,283.91,25.31,365.76,85.22,116.17,False
2024-05-18,Site_A_HongKong,775.8,257.2,21.22,497.38,115.89,105.6,False
2024-05-19,Site_A_HongKong,819.57,234.64,79.52,505.41,117.76,146.76,False
2024-05-20,Site_A_HongKong,692.18,225.09,76.37,390.73,91.04,87.95,False
2024-05-21,Site_A_HongKong,679.56,275.06,77.49,327.02,76.2,89.96,False
2024-05-22,Site_A_HongKong,799.79,237.48,98.38,463.93,108.1,116.07,False
2024-05-23,Site_A_HongKong,754.04,236.77,33.82,483.46,112.65,94.23,False
2024-05-24,Site_A_HongKong,686.79,246.43,46.14,394.21,91.85,112.04,False
2024-05-25,Site_A_HongKong,761.08,276.03,49.48,435.57,101.49,124.78,False
2024-05-26,Site_A_HongKong,762.32,262.82,38.85,460.65,107.33,106.77,False
2024-05-27,Site_A_HongKong,726.82,281.12,52.14,393.56,91.7,117.24,False
2024-05-28,Site_A_HongKong,682.21,286.74,56.74,338.73,78.92,93.01,False
2024-05-29,Site_A_HongKong,674.63,296.05,34.66,343.92,80.13,119.42,False
2024-05-30,Site_A_HongKong,691.04,292.54,61.04,337.46,78.63,116.37,False
2024-05-31,Site_A_HongKong,787.43,243.35,59.85,484.23,112.83,104.94,False
2024-06-01,Site_A_HongKong,703.0,306.02,38.85,358.12,83.44,123.35,False
2024-06-02,Site_A_HongKong,713.49,273.23,68.61,371.64,86.59,87.2,False
2024-06-03,Site_A_HongKong,627.91,252.24,67.97,307.7,71.69,88.15,False
2024-06-04,Site_A_HongKong,666.55,292.33,69.26,304.95,71.05,92.73,False
2024-06-05,Site_A_HongKong,704.66,265.77,22.68,416.22,96.98,121.35,False
2024-06-06,Site_A_HongKong,699.45,332.07,41.43,325.95,75.95,116.13,False
2024-06-07,Site_A_HongKong,658.14,321.3,39.77,297.08,69.22,109.32,False
2024-06-08,Site_A_HongKong,618.57,266.27,17.26,335.04,78.06,87.39,False
2024-06-09,Site_A_HongKong,641.39,249.22,16.64,375.52,87.5,114.98,False
2024-06-10,Site_A_HongKong,610.06,264.49,58.4,287.17,66.91,101.99,False
2024-06-11,Site_A_HongKong,669.76,327.46,40.11,302.2,70.41,105.02,False
2024-06-12,Site_A_HongKong,714.77,265.57,40.51,408.69,95.23,95.23,False
2024-06-13,Site_A_HongKong,694.11,250.59,68.41,375.12,87.4,120.1,False
2024-06-14,Site_A_HongKong,662.75,305.9,22.37,334.48,77.93,111.97,False
2024-06-15,Site_A_HongKong,651.55,296.97,47.09,307.49,71.64,81.76,False
2024-06-16,Site_A_HongKong,663.12,322.6,86.37,254.14,59.22,113.88,False
2024-06-17,Site_A_HongKong,693.71,253.11,54.15,386.45,90.04,98.76,False
2024-06-18,Site_A_HongKong,705.21,252.6,26.9,425.72,99.19,113.54,False
2024-06-19,Site_A_HongKong,557.82,317.05,33.76,207.01,48.23,89.63,False
2024-06-20,Site_A_HongKong,620.0,314.69,65.01,240.3,55.99,106.04,False
2024-06-21,Site_A_HongKong,689.06,306.03,69.5,313.53,73.05,108.26,False
2024-06-22,Site_A_HongKong,653.44,321.14,23.85,308.45,71.87,110.79,False
2024-06-23,Site_A_HongKong,662.86,259.51,57.56,345.79,80.57,112.64,False
2024-06-24,Site_A_HongKong,667.74,299.05,78.93,289.77,67.52,105.44,False
2024-06-25,Site_A_HongKong,700.8,313.17,19.28,368.35,85.83,116.1,False
2024-06-26,Site_A_HongKong,693.53,300.41,76.65,316.47,73.74,87.49,False
2024-06-27,Site_A_HongKong,681.29,271.66,67.6,342.03,79.69,84.51,False
2024-06-28,Site_A_HongKong,614.24,249.54,86.24,278.46,64.88,109.59,False
2024-06-29,Site_A_HongKong,687.76,247.49,35.27,404.99,94.36,102.69,False
2024-06-30,Site_A_HongKong,700.08,269.29,97.07,333.72,77.76,101.91,False
2024-07-01,Site_A_HongKong,551.16,278.39,32.06,240.7,56.08,68.86,False
2024-07-02,Site_A_HongKong,620.21,298.69,36.68,284.84,66.37,90.51,False
2024-07-03,Site_A_HongKong,583.91,255.02,41.07,287.81,67.06,104.54,False
2024-07-04,Site_A_HongKong,613.64,240.46,20.96,352.21,82.06,97.63,False
2024-07-05,Site_A_HongKong,615.18,300.06,29.0,286.12,66.67,105.88,False
2024-07-06,Site_A_HongKong,608.05,283.71,65.89,258.45,60.22,77.75,False
2024-07-07,Site_A_HongKong,623.95,232.9,30.21,360.84,84.07,100.54,False
2024-07-08,Site_A_HongKong,547.39,228.71,51.45,267.23,62.26,74.52,False
2024-07-09,Site_A_HongKong,568.64,224.56,29.2,314.88,73.37,81.63,False
2024-07-10,Site_A_HongKong,659.86,278.5,64.51,316.86,73.83,110.06,False
2024-07-11,Site_A_HongKong,586.56,242.75,70.16,273.66,63.76,75.4,False
2024-07-12,Site_A_HongKong,657.8,267.81,20.49,369.49,86.09,91.82,False
2024-07-13,Site_A_HongKong,561.54,226.26,24.9,310.38,72.32,80.76,False
2024-07-14,Site_A_HongKong,593.01,286.83,25.21,280.97,65.47,77.12,False
2024-07-15,Site_A_HongKong,595.36,226.13,64.01,305.22,71.12,73.3,False
2024-07-16,Site_A_HongKong,640.48,280.0,72.98,287.49,66.99,89.9,False
2024-07-17,Site_A_HongKong,590.63,259.34,69.75,261.54,60.94,89.53,False
2024-07-18,Site_A_HongKong,576.42,243.14,30.78,302.49,70.48,99.32,False
2024-07-19,Site_A_HongKong,556.98,275.63,44.61,236.74,55.16,85.4,False
2024-07-20,Site_A_HongKong,559.87,300.58,67.91,191.37,44.59,73.89,False
2024-07-21,Site_A_HongKong,572.52,243.98,49.78,278.76,64.95,98.53,False
2024-07-22,Site_A_HongKong,614.66,250.95,49.64,314.07,73.18,110.18,False
2024-07-23,Site_A_HongKong,541.41,262.05,101.39,177.96,41.47,94.23,False
2024-07-24,Site_A_HongKong,539.32,295.65,28.9,214.77,50.04,84.88,False
2024-07-25,Site_A_HongKong,627.7,280.14,86.13,261.43,60.91,82.09,False
2024-07-26,Site_A_HongKong,596.78,243.15,68.03,285.59,66.54,87.56,False
2024-07-27,Site_A_HongKong,521.66,236.55,45.51,239.6,55.83,92.94,False
2024-07-28,Site_A_HongKong,610.98,284.69,20.91,305.37,71.15,108.87,False
2024-07-29,Site_A_HongKong,541.58,237.04,48.4,256.15,59.68,75.94,False
2024-07-30,Site_A_HongKong,579.66,272.35,77.8,229.5,53.47,75.37,False
2024-07-31,Site_A_HongKong,612.14,290.27,85.05,236.82,55.18,94.96,False
2024-08-01,Site_A_HongKong,491.61,179.3,25.2,287.1,66.89,74.66,False
2024-08-02,Site_A_HongKong,495.91,181.98,39.99,273.93,63.83,60.75,False
2024-08-03,Site_A_HongKong,502.66,189.99,55.55,257.12,59.91,75.06,False
2024-08-04,Site_A_HongKong,477.44,181.51,67.31,228.62,53.27,63.07,False
2024-08-05,Site_A_HongKong,506.08,213.88,26.64,265.56,61.88,81.76,False
2024-08-06,Site_A_HongKong,498.41,213.92,75.97,208.52,48.58,60.72,False
2024-08-07,Site_A_HongKong,504.11,176.18,64.88,263.05,61.29,72.41,False
2024-08-08,Site_A_HongKong,479.92,221.46,24.25,234.21,54.57,85.73,False
2024-08-09,Site_A_HongKong,524.27,196.48,61.06,266.73,62.15,90.55,False
2024-08-10,Site_A_HongKong,457.13,210.4,53.46,193.27,45.03,76.74,False
2024-08-11,Site_A_HongKong,531.37,195.18,19.28,316.91,73.84,74.11,False
2024-08-12,Site_A_HongKong,467.28,186.17,31.5,249.62,58.16,62.73,False
2024-08-13,Site_A_HongKong,466.9,198.58,52.87,215.45,50.2,73.38,False
2024-08-14,Site_A_HongKong,443.04,193.71,42.09,207.24,48.29,53.85,False
2024-08-15,Site_A_HongKong,470.31,197.24,36.07,237.0,55.22,73.59,False
2024-08-16,Site_A_HongKong,516.15,218.93,23.52,273.7,63.77,68.0,False
2024-08-17,Site_A_HongKong,492.87,167.2,82.03,243.64,56.77,69.54,False
2024-08-18,Site_A_HongKong,498.34,180.18,31.13,287.03,66.88,83.81,False
2024-08-19,Site_A_HongKong,451.46,205.1,39.24,207.12,48.26,65.38,False
2024-08-20,Site_A_HongKong,495.83,174.2,49.87,271.76,63.32,80.59,False
2024-08-21,Site_A_HongKong,503.18,219.36,39.83,244.0,56.85,84.72,False
2024-08-22,Site_A_HongKong,484.73,218.69,56.81,209.23,48.75,81.99,False
2024-08-23,Site_A_HongKong,492.09,199.02,48.25,244.83,57.04,83.85,False
2024-08-24,Site_A_HongKong,492.31,208.82,41.97,241.52,56.27,83.38,False
2024-08-25,Site_A_HongKong,544.59,199.76,39.3,305.53,71.19,84.52,False
2024-08-26,Site_A_HongKong,512.27,176.24,21.96,314.07,73.18,62.2,False
2024-08-27,Site_A_HongKong,529.74,177.12,57.56,295.06,68.75,82.46,False
2024-08-28,Site_A_HongKong,507.03,203.88,44.24,258.9,60.32,73.87,False
2024-08-29,Site_A_HongKong,523.55,171.13,32.04,320.37,74.65,85.58,False
2024-08-30,Site_A_HongKong,458.67,168.67,81.95,208.05,48.48,60.32,False
2024-08-31,Site_A_HongKong,471.71,167.73,43.87,260.11,60.61,58.52,False
2024-09-01,Site_A_HongKong,421.18,107.28,67.34,246.56,57.45,64.01,False
2024-09-02,Site_A_HongKong,409.21,110.58,44.98,253.65,59.1,62.8,False
2024-09-03,Site_A_HongKong,429.03,98.1,104.21,226.72,52.83,56.0,False
2024-09-04,Site_A_HongKong,413.16,84.65,52.94,275.57,64.21,68.32,False
2024-09-05,Site_A_HongKong,463.25,108.65,25.8,328.81,76.61,66.69,False
2024-09-06,Site_A_HongKong,436.28,96.91,66.37,273.0,63.61,54.69,False
2024-09-07,Site_A_HongKong,423.23,104.45,67.05,251.73,58.65,51.71,False
2024-09-08,Site_A_HongKong,411.42,84.39,62.65,264.38,61.6,63.04,False
2024-09-09,Site_A_HongKong,416.26,99.21,34.63,282.42,65.8,72.91,False
2024-09-10,Site_A_HongKong,440.15,87.88,75.81,276.46,64.42,55.89,False
2024-09-11,Site_A_HongKong,425.16,106.94,84.3,233.92,54.5,71.17,False
2024-09-12,Site_A_HongKong,423.67,86.87,58.78,278.02,64.78,59.64,False
2024-09-13,Site_A_HongKong,435.79,85.69,74.17,275.94,64.29,76.42,False
2024-09-14,Site_A_HongKong,488.27,86.91,47.14,354.21,82.53,70.27,False
2024-09-15,Site_A_HongKong,426.61,82.6,22.53,321.48,74.9,75.85,False
2024-09-16,Site_A_HongKong,445.73,90.87,50.91,303.95,70.82,65.24,False
2024-09-17,Site_A_HongKong,440.85,99.76,49.65,291.44,67.91,56.92,False
2024-09-18,Site_A_HongKong,419.72,83.53,60.93,275.27,64.14,75.14,False
2024-09-19,Site_A_HongKong,422.44,90.62,23.92,307.9,71.74,68.24,False
2024-09-20,Site_A_HongKong,435.03,105.37,48.62,281.04,65.48,60.2,False
2024-09-21,Site_A_HongKong,445.55,85.63,106.7,253.21,59.0,65.49,False
2024-09-22,Site_A_HongKong,423.67,105.77,49.02,268.88,62.65,70.4,False
2024-09-23,Site_A_HongKong,434.04,82.41,34.35,317.28,73.93,71.89,False
2024-09-24,Site_A_HongKong,437.06,82.21,26.76,328.09,76.45,78.04,False
2024-09-25,Site_A_HongKong,413.09,94.99,70.22,247.88,57.76,52.0,False
2024-09-26,Site_A_HongKong,408.76,103.16,48.17,257.43,59.98,58.27,False
2024-09-27,Site_A_HongKong,415.68,107.63,42.12,265.93,61.96,69.51,False
2024-09-28,Site_A_HongKong,459.52,89.22,54.66,315.65,73.55,56.2,False
2024-09-29,Site_A_HongKong,432.77,100.91,87.29,244.58,56.99,68.46,False
2024-09-30,Site_A_HongKong,420.77,86.2,66.41,268.17,62.48,63.42,False
2024-10-01,Site_A_HongKong,406.38,0.0,24.76,381.62,88.92,50.5,False
2024-10-02,Site_A_HongKong,394.59,0.0,83.75,310.85,72.43,63.01,False
2024-10-03,Site_A_HongKong,401.81,0.0,60.12,341.69,79.61,54.61,False
2024-10-04,Site_A_HongKong,423.57,0.0,34.44,389.13,90.67,66.46,False
2024-10-05,Site_A_HongKong,424.28,0.0,97.24,327.04,76.2,71.25,False
2024-10-06,Site_A_HongKong,441.01,0.0,80.76,360.25,83.94,56.31,False
2024-10-07,Site_A_HongKong,422.53,0.0,43.99,378.54,88.2,61.84,False
2024-10-08,Site_A_HongKong,423.0,0.0,32.79,390.21,90.92,73.27,False
2024-10-09,Site_A_HongKong,383.53,0.0,83.72,299.82,69.86,67.17,False
2024-10-10,Site_A_HongKong,428.3,0.0,53.34,374.96,87.37,71.35,False
2024-10-11,Site_A_HongKong,389.74,0.0,83.91,305.83,71.26,47.78,False
2024-10-12,Site_A_HongKong,409.15,0.0,32.25,376.9,87.82,61.52,False
2024-10-13,Site_A_HongKong,421.25,0.0,57.81,363.44,84.68,58.07,False
2024-10-14,Site_A_HongKong,448.32,0.0,73.86,374.46,87.25,58.1,False
2024-10-15,Site_A_HongKong,405.94,0.0,79.2,326.74,76.13,51.13,False
2024-10-16,Site_A_HongKong,437.56,0.0,58.57,378.99,88.3,68.68,False
2024-10-17,Site_A_HongKong,400.51,0.0,15.8,384.71,89.64,66.35,False
2024-10-18,Site_A_HongKong,381.29,0.0,56.54,324.75,75.67,68.55,False
2024-10-19,Site_A_HongKong,394.29,0.0,32.3,361.99,84.34,56.58,False
2024-10-20,Site_A_HongKong,734.35,0.0,57.49,676.85,157.71,92.22,True
2024-10-21,Site_A_HongKong,399.75,0.0,82.84,316.91,73.84,61.44,False
2024-10-22,Site_A_HongKong,453.46,0.0,44.94,408.53,95.19,76.86,False
2024-10-23,Site_A_HongKong,394.27,0.0,67.05,327.22,76.24,64.05,False
2024-10-24,Site_A_HongKong,412.91,0.0,51.42,361.49,84.23,60.3,False
2024-10-25,Site_A_HongKong,409.39,0.0,77.96,331.43,77.22,72.05,False
2024-10-26,Site_A_HongKong,390.04,0.0,37.15,352.89,82.22,56.4,False
2024-10-27,Site_A_HongKong,403.44,0.0,37.83,365.6,85.19,57.18,False
2024-10-28,Site_A_HongKong,413.98,0.0,22.98,391.0,91.1,60.35,False
2024-10-29,Site_A_HongKong,421.65,0.0,25.02,396.62,92.41,52.64,False
2024-10-30,Site_A_HongKong,410.52,0.0,89.3,321.22,74.85,53.18,False
2024-10-31,Site_A_HongKong,390.57,0.0,82.07,308.5,71.88,48.48,False
2024-11-01,Site_A_HongKong,432.52,0.0,71.35,361.17,84.15,58.38,False
2024-11-02,Site_A_HongKong,454.55,0.0,20.08,434.47,101.23,67.84,False
2024-11-03,Site_A_HongKong,382.0,0.0,25.08,356.93,83.16,61.05,False
2024-11-04,Site_A_HongKong,436.15,0.0,49.78,386.36,90.02,59.15,False
2024-11-05,Site_A_HongKong,451.96,0.0,35.84,416.12,96.96,80.59,False
2024-11-06,Site_A_HongKong,399.59,0.0,41.33,358.26,83.47,53.97,False
2024-11-07,Site_A_HongKong,439.05,0.0,88.06,350.99,81.78,71.73,False
2024-11-08,Site_A_HongKong,438.53,0.0,44.01,394.52,91.92,65.38,False
2024-11-09,Site_A_HongKong,444.18,0.0,69.74,374.45,87.25,67.84,False
2024-11-10,Site_A_HongKong,435.14,0.0,19.75,415.39,96.79,72.75,False
2024-11-11,Site_A_HongKong,420.65,0.0,54.95,365.7,85.21,63.59,False
2024-11-12,Site_A_HongKong,441.71,0.0,32.6,409.12,95.32,64.96,False
2024-11-13,Site_A_HongKong,453.89,0.0,25.92,427.97,99.72,72.35,False
2024-11-14,Site_A_HongKong,425.43,0.0,39.63,385.8,89.89,64.41,False
2024-11-15,Site_A_HongKong,454.67,0.0,58.8,395.87,92.24,65.36,False
2024-11-16,Site_A_HongKong,436.17,0.0,79.12,357.04,83.19,60.63,False
2024-11-17,Site_A_HongKong,427.42,0.0,54.47,372.94,86.9,55.19,False
